theme,code,category,value,areaName
mainLanguage,E12000005,3,56,West Midlands
mainLanguage,E12000005,4,8,West Midlands
mainLanguage,E12000005,5,0,West Midlands
mainLanguage,E12000005,6,23,West Midlands
mainLanguage,E12000005,7,9,West Midlands
mainLanguage,E12000005,8,35,West Midlands
mainLanguage,E12000005,9,0,West Midlands
mainLanguage,E12000005,10,193,West Midlands
mainLanguage,E12000005,11,7,West Midlands
mainLanguage,E12000005,12,7293,West Midlands
mainLanguage,E12000005,13,10505,West Midlands
mainLanguage,E12000005,14,8691,West Midlands
mainLanguage,E12000005,15,8720,West Midlands
mainLanguage,E12000005,16,2420,West Midlands
mainLanguage,E12000005,17,62889,West Midlands
mainLanguage,E12000005,18,5170,West Midlands
mainLanguage,E12000005,19,2730,West Midlands
mainLanguage,E12000005,20,49369,West Midlands
mainLanguage,E12000005,21,6977,West Midlands
mainLanguage,E12000005,22,4885,West Midlands
mainLanguage,E12000005,23,6292,West Midlands
mainLanguage,E12000005,24,7813,West Midlands
mainLanguage,E12000005,25,4754,West Midlands
mainLanguage,E12000005,26,1444,West Midlands
mainLanguage,E12000005,27,570,West Midlands
mainLanguage,E12000005,28,272,West Midlands
mainLanguage,E12000005,29,187,West Midlands
mainLanguage,E12000005,30,171,West Midlands
mainLanguage,E12000005,31,153,West Midlands
mainLanguage,E12000005,32,67,West Midlands
mainLanguage,E12000005,33,306,West Midlands
mainLanguage,E12000005,34,3080,West Midlands
